Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code_YoY_Change,Element Code_YoY_Change,Item Code_YoY_Change,Year Code_YoY_Change,Value_YoY_Change
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2013,2013,kg,4.64,Fc,Calculated data,0.0,-0.8745624270711785,0.0,0.0,-0.9986539019437192
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2013,2013,kcal/capita/day,47.0,Fc,Calculated data,0.0,0.029457364341085368,0.0,0.0,9.129310344827587
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,0.89,Fc,Calculated data,0.0,0.015060240963855387,0.0,0.0,-0.981063829787234
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,0.09,Fc,Calculated data,0.0,0.014836795252225476,0.0,0.0,-0.898876404494382
FBS,Food Balance Sheets,5400,Europe,5511,Production,2513,Barley and products,2013,2013,1000 tonnes,85911.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2513,Barley and products,2013,2013,1000 tonnes,11299.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.01814552712756301,0.0,0.0,-0.8684801713401078
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2513,Barley and products,2013,2013,1000 tonnes,-46.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.0960613081447157,0.0,0.0,-1.0040711567395344
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2513,Barley and products,2013,2013,1000 tonnes,26387.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.16541798107255512,0.0,0.0,-574.6304347826087
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2513,Barley and products,2013,2013,1000 tonnes,70776.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.10319742852309255,0.0,0.0,1.682229885928677
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2513,Barley and products,2013,2013,1000 tonnes,50813.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.04150160347104315,0.0,0.0,-0.2820588900192156
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2513,Barley and products,2013,2013,1000 tonnes,6287.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0010867596449919414,0.0,0.0,-0.8762718202034913
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2513,Barley and products,2013,2013,1000 tonnes,1396.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.07309571195947173,0.0,0.0,-0.7779545093049149
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2513,Barley and products,2013,2013,1000 tonnes,10937.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.0015615850087840055,0.0,0.0,6.834527220630372
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2513,Barley and products,2013,2013,1000 tonnes,241.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.00448255700643152,0.0,0.0,-0.9779647069580324
FBS,Food Balance Sheets,5400,Europe,5142,Food,2513,Barley and products,2013,2013,1000 tonnes,1102.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,-0.002328288707799775,0.0,0.0,3.572614107883817
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2513,Barley and products,2013,2013,kg,1.48,Fc,Calculated data,0.0,-0.8745624270711785,0.0,0.0,-0.9986569872958257
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2513,Barley and products,2013,2013,kcal/capita/day,9.0,Fc,Calculated data,0.0,0.029457364341085368,0.0,0.0,5.081081081081082
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2513,Barley and products,2013,2013,g/capita/day,0.24,Fc,Calculated data,0.0,0.015060240963855387,0.0,0.0,-0.9733333333333334
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2513,Barley and products,2013,2013,g/capita/day,0.03,Fc,Calculated data,0.0,0.014836795252225476,0.0,0.0,-0.875
FBS,Food Balance Sheets,5400,Europe,5511,Production,2514,Maize and products,2013,2013,1000 tonnes,119412.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",,,,,
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2514,Maize and products,2013,2013,1000 tonnes,28068.0,A,"Aggregate, may include official, semi-official, estimated or calculated data",0.0,0.01814552712756301,0.0,0.0,-0.7649482464073962
