Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2513,Barley and products,2013,2013,1000 tonnes,50813.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2513,Barley and products,2013,2013,1000 tonnes,6287.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2513,Barley and products,2013,2013,1000 tonnes,1396.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2513,Barley and products,2013,2013,1000 tonnes,10937.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2513,Barley and products,2013,2013,1000 tonnes,241.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2513,Barley and products,2013,2013,1000 tonnes,1102.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2513,Barley and products,2013,2013,kg,1.48,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2513,Barley and products,2013,2013,kcal/capita/day,9.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2513,Barley and products,2013,2013,g/capita/day,0.24,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2513,Barley and products,2013,2013,g/capita/day,0.03,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2514,Maize and products,2013,2013,1000 tonnes,119412.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2514,Maize and products,2013,2013,1000 tonnes,28068.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2514,Maize and products,2013,2013,1000 tonnes,-1001.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2514,Maize and products,2013,2013,1000 tonnes,39964.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2514,Maize and products,2013,2013,1000 tonnes,106515.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2514,Maize and products,2013,2013,1000 tonnes,84011.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2514,Maize and products,2013,2013,1000 tonnes,887.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2514,Maize and products,2013,2013,1000 tonnes,3220.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2514,Maize and products,2013,2013,1000 tonnes,7703.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2514,Maize and products,2013,2013,1000 tonnes,5343.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
